USER,12763624838701,ENTER
REQ,12763624858548,12763624924372,12763725343032,100484484,OK
REQ,12763725521086,12763725605024,12763825716416,100195330,OK
REQ,12763825869314,12763825928485,12763926426012,100556698,OK
REQ,12763926618494,12763926706079,12764026961462,100342968,OK
REQ,12764027154625,12764027244143,12764127654016,100499391,OK
REQ,12764127854102,12764127941356,12764228435568,100581466,OK
REQ,12764228630074,12764228720444,12764329278956,100648882,OK
REQ,12764329472300,12764329560405,12764429705841,100233541,OK
REQ,12764429915204,12764430040660,12764530460942,100545738,OK
REQ,12764530655999,12764530744726,12764631046736,100390737,OK
USER,12764631235030,EXIT
